location,type,variable,project,experiment,frequency
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/t_CMIP6_ssp126_mon_201501-210012.nc,opendap,t,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/sst_CMIP6_ssp126_mon_201501-210012.nc,opendap,sst,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/cdd_CMIP6_ssp126_yr_2015-2100.nc,opendap,cdd,CMIP6,ssp126,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/tx35_CMIP6_ssp126_mon_201501-210012.nc,opendap,tx35,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/txx_CMIP6_ssp126_mon_201501-210012.nc,opendap,txx,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/rx1day_CMIP6_ssp126_mon_201501-210012.nc,opendap,rx1day,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/tx40ba_CMIP6_ssp126_mon_201501-210012.nc,opendap,tx40ba,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/fd_CMIP6_ssp126_mon_201501-210012.nc,opendap,fd,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/tn_CMIP6_ssp126_mon_201501-210012.nc,opendap,tn,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/ph_CMIP6_ssp126_mon_201501-210012.nc,opendap,ph,CMIP6,ssp126,mon
